index,filename,latency_s,num_detections,warmup
2,000000000632.jpg,0.740026159999843,5,True
3,000000000724.jpg,0.7311363359999632,2,True
4,000000000776.jpg,0.7240646289999404,2,True
6,000000000802.jpg,0.7211598799999592,2,False
8,000000000885.jpg,0.728202660000079,4,False
9,000000001000.jpg,0.7425373710000258,14,False
10,000000001268.jpg,0.7250380770001357,6,False
11,000000001296.jpg,0.7395641210000576,2,False
13,000000001425.jpg,0.722394310000027,2,False
15,000000001503.jpg,0.7260949320000236,4,False
17,000000001584.jpg,0.7461565300000075,5,False
18,000000001675.jpg,0.7247087060000013,2,False
20,000000001818.jpg,0.7269622310000159,1,False
22,000000002006.jpg,0.7287232549999771,4,False
23,000000002149.jpg,0.7226176799999848,4,False
24,000000002153.jpg,0.7456671949998963,5,False
25,000000002157.jpg,0.7265239149999161,9,False
26,000000002261.jpg,0.7344659949999368,1,False
27,000000002299.jpg,0.7225438659997963,11,False
29,000000002473.jpg,0.7407336430001124,5,False
31,000000002587.jpg,0.722522311000148,1,False
32,000000002592.jpg,0.7404165129999001,1,False
33,000000002685.jpg,0.7303474259999803,7,False
34,000000002923.jpg,0.7379217829998197,2,False
35,000000003156.jpg,0.7270225459999438,2,False
36,000000003255.jpg,0.7403549009998187,4,False
37,000000003501.jpg,0.7296990540000934,2,False
38,000000003553.jpg,0.7429971320000277,2,False
40,000000003845.jpg,0.7375859300000229,6,False
41,000000003934.jpg,0.7277044370000567,6,False
43,000000004395.jpg,0.7422057960000075,2,False
44,000000004495.jpg,0.7244458349998695,3,False
46,000000004795.jpg,0.7217816419999963,2,False
47,000000005001.jpg,0.7429808540000522,14,False
48,000000005037.jpg,0.7410670700000992,4,False
50,000000005193.jpg,0.7320748199999798,11,False
52,000000005503.jpg,0.7421867589998783,2,False
54,000000005586.jpg,0.7245374829999491,5,False
56,000000005992.jpg,0.7275202509999872,5,False
58,000000006040.jpg,0.7224769769998147,2,False
60,000000006460.jpg,0.7424487600001157,2,False
61,000000006471.jpg,0.7249456700001247,11,False
62,000000006614.jpg,0.7383448210000552,0,False
63,000000006723.jpg,0.7201406920000863,3,False
64,000000006763.jpg,0.7404562719998466,2,False
65,000000006771.jpg,0.7216176410001935,6,False
66,000000006818.jpg,0.73719668800004,1,False
68,000000006954.jpg,0.7240764070002115,7,False
70,000000007108.jpg,0.7258886170000096,3,False
71,000000007278.jpg,0.7432228359998589,1,False
72,000000007281.jpg,0.7297032950000357,6,False
74,000000007511.jpg,0.7240905559999646,4,False
76,000000007784.jpg,0.7351010889999543,1,False
78,000000007816.jpg,0.735290108000072,8,False
79,000000007818.jpg,0.7214393250001194,4,False
81,000000007977.jpg,0.7306778350000513,2,False
82,000000007991.jpg,0.7254510600000685,2,False
83,000000008021.jpg,0.7439047640000354,4,False
84,000000008211.jpg,0.7292453860000023,4,False
85,000000008277.jpg,0.7442234869999993,2,False
86,000000008532.jpg,0.7264990259998285,2,False
88,000000008690.jpg,0.7214793630000713,3,False
89,000000008762.jpg,0.7368838719999076,5,False
90,000000008844.jpg,0.7217718450001485,3,False
91,000000008899.jpg,0.7290630899999542,1,False
93,000000009400.jpg,0.731223669999963,18,False
95,000000009483.jpg,0.7583628269999281,7,False
96,000000009590.jpg,0.7370984839999437,13,False
97,000000009769.jpg,0.7231992009999431,3,False
98,000000009772.jpg,0.7391383420001603,3,False
100,000000009914.jpg,0.7270182130000649,5,False
102,000000010363.jpg,0.7230109219999576,3,False
103,000000010583.jpg,0.7404445310000938,2,False
105,000000010764.jpg,0.7243564269999752,2,False
106,000000010977.jpg,0.7394473439999274,2,False
108,000000011051.jpg,0.7430313359998308,3,False
109,000000011122.jpg,0.7214371589998336,1,False
110,000000011149.jpg,0.7379745240000375,4,False
111,000000011197.jpg,0.7282612170001812,8,False
112,000000011511.jpg,0.7387074150001354,5,False
113,000000011615.jpg,0.723430406000034,0,False
114,000000011699.jpg,0.7425301860000673,4,False
115,000000011760.jpg,0.7245460939998338,3,False
116,000000011813.jpg,0.739972084999863,0,False
118,000000012120.jpg,0.7228094399999918,6,False
119,000000012280.jpg,0.735693498000046,2,False
120,000000012576.jpg,0.7261610430000474,15,False
122,000000012667.jpg,0.7205706380000265,1,False
124,000000012748.jpg,0.737873190000073,2,False
126,000000013177.jpg,0.7415111820000675,4,False
127,000000013201.jpg,0.7321736549999969,2,False
128,000000013291.jpg,0.7445417289998204,8,False
129,000000013348.jpg,0.7207351380000091,1,False
130,000000013546.jpg,0.7424358520001988,7,False
131,000000013597.jpg,0.7301150190000953,1,False
133,000000013729.jpg,0.7342485680001118,7,False
135,000000013923.jpg,0.73884284199994,11,False
137,000000014038.jpg,0.7212481339997794,3,False
139,000000014380.jpg,0.7281371320000289,1,False
140,000000014439.jpg,0.7413860430001478,12,False
142,000000014831.jpg,0.7407222900001216,1,False
143,000000014888.jpg,0.7251999779996368,0,False
144,000000015079.jpg,0.7527660620003189,3,False
145,000000015254.jpg,0.722639877000347,5,False
146,000000015272.jpg,0.7271990229996845,1,False
148,000000015335.jpg,0.7243861860001743,5,False
150,000000015440.jpg,0.7220742470003643,2,False
151,000000015497.jpg,0.7376197629996568,2,False
152,000000015517.jpg,0.7214576410001428,4,False
154,000000015660.jpg,0.7341390130000036,7,False
155,000000015746.jpg,0.7255195640000238,1,False
156,000000015751.jpg,0.7353180410000277,2,False
157,000000015956.jpg,0.7229076749999876,2,False
158,000000016010.jpg,0.735214975999952,4,False
159,000000016228.jpg,0.7261663260001114,9,False
160,000000016249.jpg,0.7698693960001037,8,False
161,000000016439.jpg,0.7220677949999299,2,False
163,000000016502.jpg,0.7250262030001977,1,False
165,000000016958.jpg,0.743721209999876,6,False
166,000000017029.jpg,0.7214568670001427,3,False
167,000000017031.jpg,0.7374377259998255,2,False
169,000000017178.jpg,0.7410114409999551,4,False
171,000000017207.jpg,0.7309008619999986,5,False
173,000000017436.jpg,0.7213274079999792,2,False
174,000000017627.jpg,0.7399826010000652,11,False
175,000000017714.jpg,0.7521557649997703,5,False
176,000000017899.jpg,0.746803090999947,6,False
178,000000017959.jpg,0.7195866719998776,5,False
179,000000018150.jpg,0.7358988410001075,5,False
181,000000018380.jpg,0.7418031040001551,34,False
182,000000018491.jpg,0.7287214379998659,7,False
183,000000018519.jpg,0.7439186790002168,1,False
184,000000018575.jpg,0.7254538689999208,6,False
186,000000018770.jpg,0.7374452830003975,2,False
188,000000018837.jpg,0.7356051130000196,4,False
189,000000019042.jpg,0.7190710719996787,2,False
191,000000019221.jpg,0.7355367889999798,2,False
192,000000019402.jpg,0.7228404860002229,1,False
193,000000019432.jpg,0.7423905330001617,12,False
194,000000019742.jpg,0.72329261699997,1,False
195,000000019786.jpg,0.7388868750003894,2,False
196,000000019924.jpg,0.7248415889998796,2,False
197,000000020059.jpg,0.7332848709997961,2,False
198,000000020107.jpg,0.723706291000326,1,False
199,000000020247.jpg,0.7423756030002551,2,False
200,000000020333.jpg,0.7256818370001383,3,False
201,000000020553.jpg,0.7409211809999761,1,False
202,000000020571.jpg,0.7236064710000392,3,False
203,000000020992.jpg,0.7328807720000441,1,False
204,000000021167.jpg,0.721896924000248,3,False
205,000000021465.jpg,0.7349719799999548,3,False
207,000000021604.jpg,0.7798613119998663,2,False
208,000000021839.jpg,0.7274851379997926,7,False
209,000000021879.jpg,0.7269502980002471,6,False
211,000000022192.jpg,0.7250684150003508,2,False
212,000000022371.jpg,0.7442565669998658,4,False
214,000000022479.jpg,0.752262697000333,2,False
215,000000022589.jpg,0.725699791000352,2,False
216,000000022623.jpg,0.7404198350000115,0,False
218,000000022755.jpg,0.7203434170000946,2,False
219,000000022892.jpg,0.748499382999853,3,False
221,000000022969.jpg,0.7380806249998386,2,False
223,000000023034.jpg,0.7247797469999568,4,False
224,000000023126.jpg,0.7550039540001308,2,False
226,000000023272.jpg,0.7371889539999756,2,False
227,000000023359.jpg,0.7280616230000305,2,False
229,000000023751.jpg,0.7350952320002762,2,False
231,000000023899.jpg,0.7282683920002455,3,False
232,000000023937.jpg,0.7229496489999292,2,False
233,000000024021.jpg,0.737266094000006,0,False
234,000000024027.jpg,0.722884749000059,3,False
236,000000024243.jpg,0.7313941100001102,5,False
238,000000024610.jpg,0.7405846779997773,4,False
239,000000024919.jpg,0.7554279870000755,2,False
240,000000025057.jpg,0.7441321199999038,3,False
241,000000025096.jpg,0.7214431459997286,4,False
242,000000025139.jpg,0.7332469400002992,1,False
243,000000025181.jpg,0.7193858670002555,3,False
244,000000025228.jpg,0.7402617409998129,2,False
246,000000025393.jpg,0.7247235509998973,5,False
248,000000025424.jpg,0.7243413750002219,3,False
250,000000025593.jpg,0.7301934259999143,0,False
252,000000025986.jpg,0.7352059050003845,6,False
253,000000026204.jpg,0.7193303710000691,9,False
254,000000026465.jpg,0.7401697689997491,4,False
255,000000026564.jpg,0.7236916010001551,7,False
256,000000026690.jpg,0.7420528470001955,9,False
258,000000026941.jpg,0.7397559359997103,7,False
260,000000027620.jpg,0.7262106809998841,6,False
262,000000027768.jpg,0.7322951649998686,2,False
263,000000027932.jpg,0.7376075759998457,0,False
265,000000027982.jpg,0.724444080000012,1,False
266,000000028285.jpg,0.738152619000175,1,False
268,000000028452.jpg,0.7456415000001471,2,False
269,000000028809.jpg,0.7266093769999316,2,False
270,000000028993.jpg,0.747872704999736,2,False
271,000000029187.jpg,0.729514225999992,2,False
272,000000029393.jpg,0.7395468559998335,1,False
273,000000029397.jpg,0.7283630239999184,2,False
274,000000029596.jpg,0.7429953309997472,5,False
275,000000029640.jpg,0.7261635370000477,14,False
276,000000029675.jpg,0.7357887190000838,3,False
277,000000029984.jpg,0.7309814000000188,7,False
278,000000030213.jpg,0.7437737000000197,5,False
